,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
0,_2z9I8Jd36rP-ZK-FfN6KXJ2OdNnV1XsSaZuiLUp8H-dQAI,못할 때도 있지,252,I,161,150,False,False,True,False
1,rIpiZGf1UZV8Ad1bm82CDq6CDLkUx1fYA48oLr-5nlS51zI,원딜이란뭘까,251,I,86,57,False,False,True,False
2,1zJL5idY_zHvua_TJsjAsQX6PNQ3Sbs4MBDF46Fx2pqniw,JustLikeThatKR,244,I,137,131,False,False,True,False
3,egvLSAgsVkvmvNP_FUsnQfrPzeEpcSdIGi4kg_R7MNoLbZc,Gen G Karis,418,I,92,81,False,False,True,False
4,Ykx_hTlkZBo_JUFQnqOWSKN6tKu8QIUXQOqDwhXJtJ1lhZY,DRX Destr0y,382,I,76,65,False,False,False,False
5,qDbnqUYojUqFk2j06eXLvVWeFnstAwEDqMzOBdonCWSomsg,BRO Lava ,186,I,51,50,False,False,True,False
6,Taqfj_qPZxGgveQK9qKDi2gr5cVvlTeP1tBfSKW8Y8OYOuw,9 밍,237,I,119,110,False,False,True,False
7,HHpJed7GXHk54Q52Wz6nrnXup5Nn74a1VrgiK9F8WSUmgWs,xiaoxi,222,I,71,69,False,False,True,False
8,TdJPykbfbyrojhsmOHS6fSaP7-gAmByrK5gI-3FY5m9v0hpabI1--ZT79g,대구농민변정현,406,I,59,24,False,False,True,True
9,aevvW0_g7ZJaN734PwoBqQvU5SmhNZSs27cBNQtLkVmSwA,RationaI Man,258,I,111,90,False,False,True,False
10,XusR3aDEVuXbTtu7Immwn8yYbrP0bO2rTmhL_fO6UkBxX3U,오뚜기3분미트볼,387,I,70,58,False,False,True,True
11,sZr9RkRkGoW2sGctp0scLgQRQbvBILFDJLWkM8M7QqseCA4,Canvas2,274,I,82,58,False,False,True,True
12,0u6DmXRYLGrOGaVjIFnD62jR-tUhp-Y5CpCN0tYuZq4YHZY,Gen G Khael,441,I,60,52,False,False,True,False
13,H7b3e6ppg0F9VnECkO-rPtiZTnLook8-d1W_zR_BnfnCXU-6Nzw6Y2N5EA,난 너를 죽인다,310,I,56,35,False,False,True,False
14,pgbq7v1fmWqyVjozEfP4gqTww55iDwh26g_YWXyeeXAjrDI,hope1,216,I,39,26,False,False,False,True
15,z6SHpaIzJ_znVMK0mT_arr3qgq-Fo4FvmyRkAZyw3-q2VtQ,셀 던,442,I,164,134,False,False,True,False
16,QOQSQsVhagn9JvRJVzUSOJggWkyOrfeVIY5f05d4L62HRIE,너무절실해,223,I,82,69,False,False,False,False
17,UVoBwRlxMboJMBZ6vcQAXtZUWxTAZfhxK3AQKUlzuNYd8ow,Destiny,287,I,156,147,False,False,True,False
18,A-6frVWWP4lPMWLzfVoU9oSODeYvHrn4U42Z4yQ7D6__WBo,DWG BeryL,468,I,56,27,False,False,True,False
19,HcaKI6fyAHnebzIKIrjlDAZAb9SbHyuEC5nFXjj7zorS_3o,T1 Canna,308,I,66,54,False,False,True,False
20,6ehFM9iT2R62sYHEbXQbU-OiHx41F8E46p-c921eXaEdI3M,KAYNKlNG,210,I,108,77,False,False,True,False
21,4fkBDQVbZz2B_UG4jA_SJ1nD6Rv68tPSvDdhojb4I9SMH98,DRX becca1,221,I,72,49,False,False,True,False
22,wnJvFAkkigm28XqoG9FJe1cEQblHnexLP_4wpLkvq_SApp4,kxzxa,329,I,93,79,False,False,True,False
23,SQJe-IU-wlPTdbBL6Tmojc5Q0Xxm0ZZEd0NvpE8RM7HdEg4,방송인나탈리,369,I,130,112,False,False,True,False
24,Hw_QgSClBnDzUffofopPef66HQPKmoYPgpzqSSk1nKXvpw,킹 갓 황 샘,342,I,64,49,False,False,False,False
25,1gtP1uR9MVFDtBBUZZGXIP6cHtNJzkbdUl6g8PgyGix4zg,메가 우기,308,I,70,57,False,False,True,True
26,fs8iq9Amb4J8YCGRvJ2D8456meOW0e7fZ6IC7NB5kuTwCtw,KZ Quad,300,I,62,57,False,False,False,False
27,q-8T-k4AG2pKkYFr2osoxqKccXi7gdez-anp3GyDc4mCfjc,미소를 짓다,142,I,69,50,False,False,True,False
28,yfCrfTe26VaNORbF3Tu-gmpkGRLKgRnfF9GBnU6tAtPOUDs,HUYATV WooJu,373,I,106,80,False,False,True,False
29,z-Bc7LJNiqMWx5u8C1Hz9zKRvCKSKrqClr5YH9x0W20fOqo,모찌피치모찌피치,408,I,101,89,False,False,True,False
30,XQqEkjoXU_wH9Yo8_Cg7_AxgxEiTFRpVteO9Lyg1gXLOJrw,죽이고 싶다1,238,I,66,48,False,False,True,False
31,bRyV-sFCbbTg5XDM4pQO6UY9sQkjeInV9pkk3Et_r5il6Q,SoHwan1,462,I,95,76,True,False,False,False
32,V8fkS6e0jmziP67MwyAVpKDVN6dkWJzhfZmLF2ceAUhb2dY,괴도 너굴맨,219,I,119,114,False,False,True,False
33,2EiHrdQC1nCAU4K2WasgIAnIZffcltBiNEmqz5jDg_W8cEg,See u AG,307,I,48,31,False,False,True,False
34,2JXEyYKb8LG-kg52iLfJag2s1nCNh6vN97vgUbzCPsHf_eM,UijU,344,I,71,66,False,False,True,False
35,hUKkPtZPIGZgT-Dej5qopX0-lE0okM11-alSOYtXcTLSyio,사하여 주소서,244,I,70,56,False,False,True,False
36,QtlJZ0tdwHdToKsAtujdrw-3WJSFd8wPrPwml3thiW_KPnY,GGirit,281,I,91,78,False,False,True,True
37,o-AvokiMSrk3zC9srHFukXC-FShYXvzufjL0A4YSoHHwZQY,zhen de bye,209,I,45,18,False,False,True,True
38,3g3PahQ51aFiApucNMX4K4PjPYiGyTcGZfuR2vH0nN8c5Mo,ZQPVMWSEO233,229,I,132,116,False,False,True,True
39,lp9FZ2O0FNx6yQNnLLXCL4l-Kc2pnS9K0LmgRGkZlb7Zlhs,야생마문현준,329,I,62,51,False,False,False,True
40,-T8vYuCNlxlRdm7arMw_1KJhjLEJA76QJxNvP1TiTHDEPA,아니어케이게살지,470,I,72,34,False,False,True,False
41,GCisNA4HN3Xw6PBr6JB5_BxgU5bVzqYi3zpIElSpYhHvFD4,바쿠야,210,I,45,33,False,False,True,False
42,fpbhWE39jgbFcU6s3Fh0ZYFCNLu0i4TPtxL6L1sUGzr_7_U,HLE Deft1,206,I,38,28,False,False,True,False
43,p5HZgmAWMSHwulX4Lq05Rsq0sCsd2-JO_sTYYWoy8JBZog,데스노트,162,I,121,98,False,False,True,False
44,UrZ_R3dP7WDyBzmWahUGYU6Pm6OqJcR7XRcCyM7MdceNYPE,수영장파티문현준,428,I,99,65,False,False,True,False
45,q1qBRyDortD1ncvOpvj0GbbXO00q7rY6UQLr3JRcv3Ooi0Q,River9,509,I,77,61,False,False,False,True
46,CxUejpijK5cpz_7dqoIYBndTGD8kfMC7jCnxmIOALquC7g,Untara,327,I,70,64,False,False,True,False
47,VV5DO7XouGUxhgV9-7He-N2nndWGCCnbB0vgA0dMQWTomw,군대괜히미룬사람,319,I,46,34,False,False,False,False
48,Bob7nyIGMBANLEdaYsK2o12cVe92ZREvCpHwyJGd4IaZoDg,iiiiiiliiliili,221,I,46,31,False,False,True,True
49,Si1eUObdwUfs_n5HF2POJGJB5yHP-URumbfuzRG7xLeJ7n8,ANG Gaori,409,I,99,74,False,False,True,False
50,9c-CYLnfwVTALJdLlXnFAeUuXylXouDZdNwfAKFEjKFyVQ,arrowIoI,296,I,78,69,False,False,True,False
51,q3uUNFAOVlL0LL34Yhai9dfoi1Ukwho8M14KIMYmwsJbxwI,T1 Closer,324,I,46,32,False,False,True,False
52,Rs908W9mtbMaENRHMWzGdQHgUk4VD8ZLmr9B8ZhERrXjMCM,Yubi yubi1,311,I,70,47,False,False,False,False
53,uWWVtYy3Aoii4acE5PrhHi9TIpJ-NabckuKQeQmmtRqXCCE,명jhin2,220,I,80,76,False,False,True,False
54,eTImKmK-8TgsNcflxasSw3mJ20S2SwfyObpX2ERZFIprMnhNY7gt37XVbQ,무자비한 문현준,499,I,60,33,False,False,True,False
55,KrHfQ9aN8RARMg852NCRMWntYy4u-h3x6S2SN2WiWSi3M0o,BRO Hena,264,I,37,31,False,False,True,True
56,u1cAXQbGDd8HgkM-t6BXKf_FjBQqJE2EwkYzx2eWWb-zMLA,weather i,334,I,32,8,False,False,True,False
57,tmV13Ia3iDVh3W9EY3qy53FzCVcXFwD2vstcIoRukqtmiD0,DWG Ghost,383,I,85,66,False,False,True,False
58,QfOv1R71fvpUj3UnHsRxZAhn2QQoUUglcqXRh5auaZfQ_Q,CCrazy,242,I,71,59,False,False,True,False
59,u9fbSjbAhfq1vAGYAuabm32jjsWWAY874NSu82rcPUOrUl0,BRO Hoya,374,I,65,58,False,False,False,False
60,YR0zGVRIcAGcy4NmoHpSotoS6HlqB4P77n55Qr20H2M40Ew,Liiv TolanD,180,I,71,52,False,False,True,False
61,sr6gxxD7OeoI72is5QVn3Wpiie-TlA3E72AKJbCkEEMJMhI,Minit 제자,320,I,34,21,False,False,True,False
62,sY7D9kM1xZyXQa3MSCx-_sqzm2VYEPVShAOSB4pJiYo5aY8,dbpqlIIlmnnm,222,I,123,111,False,False,True,False
63,GtBVOE8P6zK_qfKV0DGwrnfSxUW3bRZRg5b-bGmh490P2So,역시폭군,239,I,114,92,False,False,True,True
64,RBlaUKlN4B8V0koY1UdBMxJwGO14TNCb4hUZQh9tz1z3AyU,두번 사는 하루,297,I,27,12,False,False,True,False
65,EsCeWt8Z5q3gsFnV-mjD7aOwzWBD95bzTxb4CMmchhSDSooCbwf1ZVwcRg,마지막 고집,250,I,56,48,False,False,False,False
66,o2GCpEZld2TlvdV2TsQDtxbaH7TMKULeCufRrDGDA626Kbo,폼 팡,236,I,90,67,False,False,True,True
67,alEFXYr5IM08RNkpSsOd8IBXd42xEdDkuuvxw7A2C-OO1aM,KT H4rp,358,I,98,83,False,False,True,False
